date,tweet_id,sentiment,text
2025-01-23 22:02:00+00:00,1882549369259639198,negative,By the end of the day people figured out that the Hynix to Nvidia connection was not a good one and the stock went all the way back
2025-01-23 09:58:22+00:00,1882367262172262768,negative,Now Goldman takes a swing at the Apple pinata cutting price target. One by one....
2025-01-23 09:45:25+00:00,1882364002896064595,negative,"Be prepared, the Nvidia bears--and they are legion--will use the decline of the stock of SK Hynix, the Korean high bandwidth chip maker, as an analogue to take down Nvidia. But the analogy is faulty. Other parts of Hynix were weak-just like when Micron reported and hurt Nvidia"
2025-01-22 14:13:55+00:00,1882069184454287801,negative,Does softbank need to sell down ARM to pay for this initiative ?
2025-01-22 10:33:18+00:00,1882013665370751024,negative,"Let's parse this. What was weighing on Nvidia's stock these last 8 months. One, would there be demand for the new, expensive chips. Well what are we celebrating today with Stargate? Two, the Biden administration treating Nvidia unfairly with its ""friends"" designations. Gone?"
2025-01-24 22:51:54+00:00,1882924316876300557,neutral,Too overbought Have to keep peeling away stocks for the trust
2025-01-24 20:32:56+00:00,1882889344341668291,neutral,Chinese AI start-up DeepSeek is playing havoc with Nvidia.. All day... Just want to get it out there
2025-01-23 23:06:40+00:00,1882565643695988841,neutral,.@FosforoMezcal x @Eagles 🦅🥃 https://t.co/0yhuZH34Pt
2025-01-23 19:59:42+00:00,1882518590450237511,neutral,Costco and Walmart are rolling back inflated prices https://t.co/Tc4GH23l6w
2025-01-23 16:35:36+00:00,1882467228265967762,neutral,President endorses coal! Alliance!!!!! (ARLP!!!!) Soaring!!!!!
2025-01-23 14:28:23+00:00,1882435215269990571,neutral,Maybe we are Bama https://t.co/WdBMhM1nkG
2025-01-23 14:27:27+00:00,1882434976555442517,neutral,"RT @AdamSchefter: ESPN analyst Herm Edwards, who recruited Jayden Daniels to Arizona St. and remains close to him today, speaks about what…"
2025-01-23 14:26:13+00:00,1882434666415976827,neutral,"Nothing can stop Palantir, nothing"
2025-01-23 09:59:26+00:00,1882367531295584464,neutral,They want Nvidia's chips. They need them.... https://t.co/XPQjR5B4Ki
2025-01-23 09:16:02+00:00,1882356606878531654,neutral,Fourth draft time for today's noon CNBC Investing Club meeting speech!
2025-01-22 23:43:51+00:00,1882212612391506216,neutral,And what if coal makes a comeback???  Stay tuned... @MadMoneyOnCNBC
2025-01-23 14:19:45+00:00,1882433041643307329,positive,Love GPT
2025-01-22 11:27:33+00:00,1882027315615736210,positive,"I now believe that President Trump will embrace and support Nvidia in is Sovereign AI project which means multiple billions of dollars of orders right now. I think the whole ""friend, no friend"" thing is going to be dead on arrival. Shameful rules"
2025-01-22 10:34:20+00:00,1882013926537531538,positive,"Truly, the last three months of rules proposed that would hurt Nvidia made no sense, especially the bogus list of ""18 friends."" Let's hope that goes away fast."
2025-01-22 09:34:51+00:00,1881998957427241291,positive,"Nvidia's stock, which has been roughly flat since June of last year, could be breaking out IF there is so much enthusiasm for what we knew would happen in the data center world plus what we talked about last night on @MadMoneyOnCNBC"
